1       TcTamas        99      99
2       Computer       10      10
3       Computer       10      10
4       yas            8       7
5       nope           8       6
6       Player         8       5
7       Player         2       4
8       nobody         2       4
9       ImCorrect      2       4
10      3456           2       1
